application_id,month,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,phone_home_valid,phone_mobile_valid,has_other_cards,proposed_credit_limit,foreign_request,session_length_in_minutes,device_distinct_emails_8w,device_fraud_count,keep_alive_session,bank_months_count,fraud_bool
A703123,1,0.78,0.191,6,72,20,1.694,-1.0,5468,7237.1,26425.7,19698.9,2079,19,106,0,0,1,0,1000,0,7.93,1,0,1,14,0
A703124,1,0.29,0.894,96,18,70,4.281,5.71,1361,7073.4,37044.7,49753.7,269,39,120,1,0,1,0,1500,0,9.52,1,0,1,14,0
A703125,1,0.1,0.913,96,36,40,0.107,12.57,1210,7651.8,31246.5,43662.8,2167,11,158,0,1,1,0,500,0,3.86,1,0,0,14,0
A703126,1,0.82,0.705,12,-1,30,0.324,10.58,3579,6435.4,25152.0,22976.7,792,13,118,1,1,1,0,1000,0,2.19,3,0,0,31,0
A703127,1,0.77,0.936,24,-1,70,1.405,19.0,4484,1252.9,5210.2,3898.0,1327,34,110,0,1,1,1,500,0,13.13,1,0,1,3,0
A703128,1,0.71,0.67,48,72,60,4.172,20.54,3341,4375.0,20586.4,19201.0,643,39,128,0,1,1,0,200,0,3.83,1,0,1,-1,0
A703129,1,0.85,0.029,96,-1,10,0.099,1.27,3785,6383.3,21397.9,19516.8,797,17,158,1,1,1,1,500,0,0.1,1,0,1,8,0
A703130,1,0.72,0.653,96,18,20,1.507,-1.0,5147,8373.9,45774.3,40986.2,2058,0,198,0,1,1,0,1500,0,3.73,1,0,0,14,0
A703131,1,0.38,0.849,96,3,40,0.346,6.06,993,8288.7,31286.0,33509.0,1074,0,104,0,0,1,0,1500,0,5.68,1,0,1,14,0
A703132,1,0.26,0.35,12,72,30,0.268,-1.0,2515,4054.4,15760.3,16472.4,1119,27,199,1,1,1,1,1000,0,3.29,1,0,0,31,0
A703133,1,0.5,0.289,-1,18,60,2.019,5.85,3900,7542.4,29349.1,27365.8,1671,14,180,0,0,1,0,200,0,6.21,1,0,0,3,0
A703134,1,0.68,0.115,-1,-1,20,1.689,-1.0,3261,5905.7,18855.8,13416.4,109,15,110,0,0,1,0,1500,0,9.49,9,0,0,22,0
A703135,1,0.26,0.042,12,36,10,2.589,-1.0,5460,898.2,3953.2,2936.8,2149,7,111,0,0,0,0,500,0,4.16,1,0,0,8,0
A703136,1,0.8,0.942,-1,36,50,3.787,12.56,2848,5210.6,21358.7,18702.7,1804,16,149,0,0,1,0,1500,0,4.6,1,0,0,8,0
A703137,1,0.62,0.509,12,3,70,0.77,18.99,3290,5024.1,15441.5,15653.8,1059,4,218,0,1,1,1,200,0,8.18,1,0,1,22,0
A703138,1,0.27,0.009,12,3,30,2.153,-1.0,3520,913.5,4524.3,5941.9,2305,30,175,0,1,1,0,2000,0,7.69,1,0,1,22,0
A703139,1,0.42,0.493,24,9,50,0.244,-1.0,3560,6325.1,31314.1,42545.9,1238,12,130,1,1,1,0,2000,0,4.49,1,0,1,31,0
A703140,1,0.75,0.588,-1,-1,20,0.866,-1.0,3679,1267.7,6795.7,7395.8,1443,4,101,1,0,0,0,1000,0,2.91,1,0,0,31,0
A703141,1,0.69,0.037,96,9,30,1.411,13.72,3544,4474.6,20679.5,26193.7,440,30,33,0,1,1,0,2000,0,7.81,1,0,1,8,0
A703142,1,0.52,0.096,96,-1,20,1.526,3.52,3645,3396.8,16331.2,16779.3,809,1,56,0,1,1,0,500,0,4.33,1,0,0,14,0
A703143,1,0.79,0.583,24,36,40,0.256,8.37,3444,6532.6,28334.0,25283.9,2293,28,192,0,1,1,0,1000,0,5.45,1,0,0,3,0
A703144,1,0.38,0.341,24,120,30,0.71,1.38,5363,8039.7,27249.9,30267.5,57,37,206,0,1,1,0,200,0,7.48,1,0,1,22,0
A703145,1,0.46,0.854,24,120,40,2.783,12.72,4724,2827.6,13260.8,15564.8,1370,9,135,1,1,1,0,200,0,10.96,1,0,0,22,0
A703146,1,0.62,0.499,48,120,20,1.482,-1.0,1980,4344.4,23730.3,20547.2,1981,11,136,0,0,1,0,1500,0,0.1,1,0,0,31,0
A703147,1,0.63,0.584,96,72,20,0.094,20.04,237,2187.3,8930.7,6967.6,1003,16,190,0,1,1,0,2000,0,17.0,1,0,0,31,0
A703148,1,0.38,0.781,24,36,10,1.985,5.96,4056,12084.1,36394.3,50940.6,1098,5,18,1,1,1,1,1500,0,2.11,1,0,1,14,0
A703149,1,0.74,0.543,-1,72,50,5.055,-1.0,1771,2955.9,11739.9,15168.1,2024,36,87,1,1,1,0,1000,0,7.91,1,0,0,14,0
A703150,1,0.83,0.967,24,18,20,11.518,-1.0,1452,616.0,2241.8,3096.1,601,19,100,1,1,1,0,1500,0,4.24,1,0,0,31,0
A703151,1,0.94,0.432,24,9,70,1.223,20.2,619,8133.1,24509.6,25716.3,1922,20,46,0,1,1,1,1500,0,0.62,1,1,1,14,0
A703152,1,0.71,0.127,24,9,20,4.565,10.73,1623,2365.7,12963.5,17729.8,67,30,76,1,1,1,0,500,0,10.29,1,0,1,8,0
A703153,1,0.77,0.119,24,72,50,3.816,6.71,3340,0.0,0.0,0.0,2171,20,186,1,0,1,0,200,0,8.4,1,0,1,-1,0
A703154,1,0.77,0.896,96,36,60,3.036,8.37,4394,8572.9,39469.5,36642.7,1618,4,51,1,0,1,1,1500,0,15.3,1,0,0,8,0
A703155,1,0.43,0.612,24,18,30,0.014,-1.0,3843,1879.6,8733.8,7952.3,2078,5,238,0,0,1,0,1500,0,4.34,1,0,0,22,0
A703156,1,0.16,0.769,12,72,60,0.669,24.84,368,2674.0,8200.3,6223.3,2019,34,167,0,1,1,0,1500,0,1.3,1,0,0,22,0
A703157,1,0.94,0.84,96,36,30,1.257,9.98,2553,1023.5,4735.0,5719.6,1527,32,292,1,0,0,1,500,0,9.12,1,0,1,3,0
A703158,1,0.51,0.165,12,-1,40,6.665,3.34,2534,4584.6,16920.7,23531.3,1254,8,84,0,0,1,1,1500,0,11.3,1,0,1,8,0
A703159,1,0.81,0.398,96,-1,50,0.502,17.81,4260,2206.4,11933.8,14656.6,345,35,139,1,0,1,0,500,0,6.96,1,0,1,14,0
A703160,1,0.25,0.104,6,9,10,0.561,-0.98,3194,2640.2,14319.0,15094.7,193,1,234,1,0,0,0,1000,0,0.42,1,1,0,3,0
A703161,1,0.7,0.443,12,-1,20,1.385,2.27,4843,7642.5,30684.3,27281.0,2242,18,148,1,0,1,0,500,0,8.75,1,0,0,8,0
A703162,1,0.3,0.808,6,3,20,0.106,10.61,2862,6219.6,29927.2,29227.5,89,36,143,0,1,1,1,1500,0,7.21,1,0,0,8,0
A703163,1,0.73,0.678,24,18,60,1.722,7.43,411,0.0,0.0,0.0,1510,9,223,0,0,1,0,200,0,13.15,1,0,1,31,0
A703164,1,0.72,0.212,-1,18,70,2.049,24.55,1583,1880.2,6271.7,8624.0,1714,5,191,0,1,1,0,1000,0,8.59,1,0,1,8,0
A703165,1,0.47,0.969,48,9,10,0.428,15.36,3320,3374.9,11017.5,14430.2,1285,25,222,1,0,1,0,2000,0,4.87,1,1,1,8,0
A703166,1,0.75,0.145,12,18,10,3.357,1.1,1480,2927.6,13112.3,15500.9,1805,33,154,0,1,1,0,2000,0,9.44,1,0,1,14,0
A703167,1,0.61,0.034,-1,3,20,1.365,3.79,1341,8529.7,34006.6,38966.8,107,3,180,1,0,1,0,2000,0,1.95,5,0,0,31,0
A703168,1,0.53,0.626,-1,36,30,6.614,8.01,2962,9007.0,31839.1,24639.0,1852,36,213,1,0,1,0,1000,0,0.1,3,0,1,14,0
A703169,1,0.81,0.128,-1,36,50,1.6,2.1,5288,4925.5,22267.5,27536.4,1090,8,133,0,0,1,0,2000,0,7.92,1,0,0,3,0
A703170,1,0.4,0.146,-1,120,60,0.632,19.06,1745,2129.6,7140.8,7066.1,1144,19,126,1,0,1,0,500,0,13.55,1,0,1,3,0
A703171,1,0.88,0.6,48,72,30,0.838,-0.41,3952,841.0,4419.9,4232.2,709,21,128,1,1,1,0,200,0,6.82,1,0,1,-1,0
A703172,1,0.58,0.896,96,72,30,1.055,-1.0,4434,3693.2,18478.8,25371.5,1693,10,168,1,0,1,0,500,0,9.99,9,0,0,31,0
A703173,1,0.66,0.586,6,36,20,0.28,-1.0,3582,9505.1,30603.6,33754.2,588,14,199,1,1,1,0,2000,0,1.04,1,0,0,14,0
A703174,1,0.34,0.044,12,36,30,8.77,31.73,1408,5494.4,18611.9,20540.9,1906,13,200,0,1,1,0,2000,0,6.91,1,0,1,-1,0
A703175,1,0.97,0.538,-1,-1,40,2.574,11.46,3617,2296.7,9967.8,11593.7,1308,12,138,1,0,1,0,500,0,8.7,1,0,0,31,0
A703176,1,0.72,0.766,24,18,30,1.128,-1.0,5114,4040.8,16518.6,15129.5,2008,31,184,0,0,1,1,500,0,6.34,1,0,1,8,0
A703177,1,0.78,0.246,6,36,30,0.195,30.05,884,2090.4,9345.8,11725.9,951,24,169,1,1,1,1,1500,0,9.37,2,0,0,31,0
A703178,1,0.32,0.81,48,72,50,2.699,-1.0,3222,5300.4,29095.3,32336.4,8,2,118,0,1,1,1,1000,0,6.98,1,0,0,22,0
A703179,1,0.08,0.413,6,120,30,0.942,-1.0,4136,6770.0,28052.8,32368.7,1502,12,159,1,0,0,0,200,0,7.24,1,0,1,-1,0
A703180,1,0.63,0.521,96,3,20,0.573,-1.0,1010,5746.5,27102.5,25297.2,175,10,218,1,1,1,0,1500,0,7.18,5,0,1,14,0
A703181,1,0.68,0.734,96,72,40,0.559,11.18,4249,3191.5,10206.3,12121.3,2163,2,5,0,0,1,0,200,0,7.42,2,0,1,8,0
A703182,1,0.63,0.569,96,120,20,2.107,19.06,1742,6109.4,22536.7,27592.8,604,22,107,1,0,1,1,200,1,9.91,1,0,1,-1,0
A703183,1,0.27,0.477,24,120,70,2.481,19.43,2712,795.3,4201.8,3089.9,719,8,169,1,1,1,0,1000,0,2.45,1,0,1,-1,0
A703184,1,0.54,0.998,48,-1,40,1.118,0.53,4564,4770.6,20293.4,15933.4,1415,6,137,0,1,1,1,2000,0,3.53,1,0,1,31,0
A703185,1,0.76,0.099,96,72,30,0.006,-1.0,4313,5246.7,17761.5,18441.5,1885,11,58,1,1,0,0,1000,0,6.82,1,0,0,14,0
A703186,1,0.32,0.552,12,9,40,1.443,18.71,5064,2575.5,7763.8,10676.2,135,20,165,1,0,1,0,200,0,10.82,1,0,1,8,0
A703187,1,0.67,0.867,12,36,10,2.28,12.2,1225,3022.0,16136.0,17102.2,915,2,115,1,1,1,0,2000,0,6.36,2,0,1,8,0
A703188,1,0.76,0.792,96,3,50,12.006,30.96,2105,8787.1,32568.5,44969.6,1997,0,214,0,1,0,1,500,0,8.87,9,0,1,3,0
A703189,1,0.17,0.666,96,120,30,4.588,21.48,230,515.3,1782.6,1847.6,989,4,116,0,0,1,1,1000,0,3.88,1,0,1,31,0
A703190,1,0.48,0.616,24,120,60,0.512,-1.0,1047,6402.7,32389.5,34731.1,2161,36,59,0,1,1,0,200,0,0.1,1,0,0,22,1
A703191,1,0.26,0.522,48,18,40,2.652,-1.0,4245,5062.3,23074.5,25636.0,2133,15,148,0,0,1,0,2000,0,8.71,1,0,1,-1,0
A703192,1,0.5,0.162,12,36,70,3.407,22.23,1998,7281.6,22396.2,16832.9,1693,10,128,0,0,1,1,200,0,5.91,3,0,0,14,0
A703193,1,0.65,0.361,-1,18,30,4.284,-1.0,711,10613.4,32509.9,29371.2,2054,7,129,1,1,1,0,200,0,11.38,2,0,1,14,0
A703194,1,0.68,0.267,96,3,30,2.398,-1.0,4781,2022.7,6745.6,4982.3,2038,29,140,1,1,1,0,500,1,6.68,1,0,0,-1,0
A703195,1,0.9,0.453,12,3,30,0.514,13.14,4627,11526.2,41896.9,45679.3,998,28,174,0,1,1,1,1000,0,5.74,1,0,0,8,0
A703196,1,0.46,0.944,48,72,30,1.544,-1.0,1898,3088.1,9919.5,11436.5,2238,27,245,1,0,0,0,200,0,4.6,1,0,1,14,0
A703197,1,0.57,0.178,96,-1,20,1.556,9.28,620,96.7,482.5,544.9,299,23,161,0,1,0,0,1000,0,2.82,1,1,1,22,0
A703198,1,0.81,0.145,48,120,50,2.976,19.26,5253,369.1,1535.0,1124.5,1431,31,163,1,0,1,0,1500,0,6.26,1,0,1,22,0
A703199,1,0.46,0.013,-1,3,70,1.643,1.86,5268,1305.8,6142.0,5001.4,1747,12,119,0,0,1,0,500,0,9.87,1,0,0,31,0
A703200,1,0.23,0.279,48,72,20,1.97,5.33,4952,7166.0,26903.3,26235.7,1672,35,73,0,0,1,0,500,0,5.1,1,0,1,-1,0
A703201,1,0.21,0.389,12,9,40,0.315,18.83,1462,6720.9,31691.7,24458.3,1126,39,161,1,1,1,0,1500,0,1.75,2,0,0,14,0
A703202,1,0.43,0.944,12,72,20,1.027,14.08,5195,4507.2,14375.0,13058.7,348,0,138,1,1,1,0,2000,0,8.56,1,0,0,14,0
A703203,1,0.21,0.499,12,9,30,0.907,6.23,992,897.8,3773.9,3157.2,844,27,222,0,0,1,0,1500,0,4.11,1,0,1,8,0
A703204,1,0.82,0.885,24,18,30,1.209,6.59,2889,2548.3,9433.0,8403.7,1518,15,237,1,1,1,0,200,0,2.96,1,0,0,-1,0
A703205,1,0.76,0.377,24,120,20,4.451,-0.28,3312,6355.9,26348.1,20795.0,1352,15,153,0,1,1,0,200,0,6.22,1,0,1,8,0
A703206,1,0.61,0.066,12,36,20,0.025,-1.0,3152,2284.1,10691.4,10967.5,839,22,34,1,0,1,1,500,0,4.59,1,0,1,14,0
A703207,1,0.09,0.736,6,120,30,9.176,15.84,2412,6240.3,31183.5,26064.7,2185,40,136,1,0,1,0,1000,0,7.26,1,0,0,14,0
A703208,1,0.22,0.227,24,9,60,0.117,5.07,3779,4978.3,16246.8,19047.1,1266,5,124,1,1,1,0,1500,0,9.67,3,0,1,22,0
A703209,1,0.83,0.985,96,36,40,0.079,-1.0,1765,7764.7,34606.7,24369.4,936,22,164,1,0,1,0,1000,0,7.7,1,0,0,31,0
A703210,1,0.52,0.953,6,36,40,1.388,2.09,1055,3723.9,19156.6,25959.5,1679,17,129,1,1,1,0,1500,0,6.21,1,0,0,8,0
A703211,1,0.66,0.643,12,3,20,2.891,3.18,2134,7907.6,26507.0,28229.4,1380,39,163,0,0,1,1,500,0,2.96,1,0,0,3,0
A703212,1,0.86,0.149,-1,72,70,8.29,15.44,2051,7096.0,28368.8,21146.6,692,10,259,0,0,1,1,1000,0,3.24,5,0,0,8,0
A703213,1,0.21,0.23,6,-1,30,1.55,2.5,934,6613.7,21504.5,26554.1,49,30,144,1,0,1,0,1500,0,6.14,3,0,1,8,0
A703214,1,0.64,0.659,6,120,40,0.454,18.03,5476,5285.0,26852.5,26513.4,129,6,181,0,1,1,1,500,0,3.78,1,0,0,22,0
A703215,1,0.66,0.959,-1,9,30,0.343,17.43,2486,904.1,3383.2,4084.1,906,13,201,1,0,1,0,2000,0,8.63,3,0,1,31,0
A703216,1,0.45,0.337,12,3,30,2.69,22.61,5039,4741.7,17152.2,23056.0,1216,39,184,0,0,1,0,200,0,3.9,1,0,1,14,0
A703217,1,0.68,0.093,96,72,50,5.325,-1.0,3870,7596.3,31522.1,29803.7,479,13,103,0,1,1,1,2000,0,2.43,1,0,1,14,0
A703218,1,0.53,0.457,24,72,40,10.696,2.26,2975,6622.5,31818.9,24052.2,2348,6,276,1,0,1,0,2000,0,9.87,1,0,0,14,0
A703219,1,0.6,0.932,12,3,50,0.217,17.07,2423,3192.5,9939.3,12112.7,580,39,122,1,0,1,0,1000,0,6.86,1,0,0,22,0
A703220,1,0.23,0.841,-1,72,60,2.647,8.96,5398,0.0,0.0,0.0,2240,7,78,0,1,1,0,500,0,8.43,1,0,1,-1,0
A703221,1,0.33,0.677,12,36,60,1.451,-1.0,5245,3583.8,12807.2,16361.8,182,2,108,0,0,1,0,200,0,8.89,1,0,0,3,0
A703222,1,0.21,0.988,12,18,30,7.765,8.49,3581,5665.6,23063.9,18537.5,451,32,195,1,1,1,0,1500,0,7.7,1,0,1,14,0
A703223,1,0.64,0.259,12,9,40,2.371,7.77,1194,5001.4,26392.3,25346.7,2052,0,106,1,0,1,1,2000,0,7.78,1,0,0,31,0
A703224,1,0.42,0.337,-1,18,40,3.742,7.29,862,2024.7,10925.9,9416.4,2233,15,206,0,0,1,1,1500,0,2.31,1,0,1,22,0
A703225,1,0.34,0.159,-1,-1,30,1.632,13.78,5104,4460.6,14952.1,19220.1,24,15,175,1,1,1,0,200,0,7.44,1,0,0,3,0
A703226,1,0.78,0.551,12,72,70,9.362,24.46,97,7444.0,24993.0,18908.8,266,8,35,1,0,1,0,1500,0,7.84,1,0,1,14,0
A703227,1,0.74,0.958,48,72,30,1.348,-1.0,882,3817.0,18763.6,16302.7,1414,15,119,1,0,1,1,1500,0,10.11,1,0,0,8,0
A703228,1,0.45,0.201,6,72,30,1.764,3.73,2270,4950.1,16387.1,22471.5,682,9,155,1,0,1,0,2000,0,12.21,1,0,1,31,0
A703229,1,0.54,0.4,24,9,70,5.64,5.43,2762,7133.1,34351.1,40921.0,2394,23,243,1,1,1,0,500,0,2.4,1,0,1,3,0
A703230,1,0.65,0.808,96,72,60,2.127,11.48,1129,1223.3,6620.0,8481.8,986,34,239,0,0,1,0,500,0,7.23,1,0,1,31,0
A703231,1,0.68,0.793,6,3,60,6.464,15.09,2920,4371.5,17996.7,19370.3,1910,31,99,1,0,1,0,1000,0,0.1,1,0,1,-1,0
A703232,1,0.6,0.803,-1,120,20,3.773,9.77,2341,6116.0,23901.2,24005.4,2153,24,139,1,1,1,0,2000,0,5.67,1,0,1,3,0
A703233,1,0.15,0.452,96,-1,40,0.845,1.63,3112,8665.6,42353.7,31381.2,1338,2,209,0,0,1,0,1000,0,6.52,3,0,0,14,0
A703234,1,0.49,0.998,96,3,40,4.27,25.86,895,0.0,0.0,0.0,463,1,260,0,0,1,0,1000,0,6.56,1,0,0,3,0
A703235,1,0.09,0.178,-1,9,30,0.443,4.33,4741,5029.6,17160.8,13922.3,113,38,96,1,1,1,0,500,0,6.29,1,0,0,14,0
A703236,1,0.56,0.6,-1,120,40,0.17,-1.0,1208,4632.5,14341.7,11567.9,239,15,172,0,1,1,0,2000,0,8.94,1,0,0,31,0
A703237,1,0.81,0.145,-1,18,60,0.122,-1.0,889,7621.6,34656.2,32072.2,336,28,173,1,0,1,0,1500,0,5.71,3,0,0,22,0
A703238,1,0.58,0.306,6,9,20,20.715,9.0,3964,2921.3,9628.9,9389.3,1514,14,128,0,0,1,0,1000,0,10.63,1,0,1,8,0
A703239,1,0.43,0.91,96,18,40,0.395,-1.0,2917,8907.4,30740.6,27588.6,2058,18,185,1,0,1,0,1500,0,5.05,1,0,1,3,0
A703240,1,0.66,0.717,96,18,30,0.495,3.0,4030,5468.2,29748.3,26105.6,1654,13,108,0,0,1,0,2000,0,9.41,1,0,1,31,0
A703241,1,0.5,0.034,6,72,20,1.15,20.67,935,7094.3,33262.5,44793.0,329,26,224,0,0,0,0,1500,0,8.03,1,0,1,-1,0
A703242,1,0.99,0.945,6,-1,30,0.072,3.68,3480,1180.6,5943.1,6125.9,1891,8,173,1,0,1,0,2000,0,14.53,1,0,1,31,0
A703243,1,0.22,0.194,24,36,70,5.834,-1.0,936,5175.8,19806.4,16404.9,466,38,175,1,1,1,0,200,0,5.28,1,0,0,3,0
A703244,1,0.17,0.139,12,9,70,0.804,12.99,2584,6011.4,20574.5,20790.1,656,7,-18,1,0,1,0,2000,0,2.23,1,0,1,31,0
A703245,1,0.7,0.642,24,36,20,2.81,4.47,2177,8225.5,37106.0,40313.7,1188,19,172,1,1,1,0,1000,0,9.08,1,0,1,22,0
A703246,1,0.64,0.48,12,72,40,3.17,-1.0,4664,0.0,0.0,0.0,1842,31,145,0,0,1,1,2000,0,8.38,1,0,0,-1,0
A703247,1,0.53,0.067,6,72,70,1.664,2.9,1596,5021.9,23084.8,19059.8,308,22,237,1,0,1,0,2000,0,7.08,2,0,0,22,0
A703248,1,0.57,0.327,24,18,30,0.255,-1.0,4215,4399.4,17359.7,17863.4,692,21,245,0,0,1,1,1000,0,6.17,1,0,0,31,0
A703249,1,0.76,0.536,12,36,30,2.524,8.71,1359,0.0,0.0,0.0,461,4,73,1,1,1,0,1000,0,7.74,1,0,1,8,0
A703250,1,0.84,0.48,48,120,10,0.943,23.05,3161,8609.3,36529.5,26427.7,2270,19,214,0,0,1,0,500,0,6.61,1,0,1,8,0
A703251,1,0.62,0.021,96,3,10,0.985,13.36,2704,2396.7,9258.2,12606.7,1247,10,127,0,0,1,0,500,0,8.17,2,0,0,-1,0
A703252,1,0.99,0.962,24,-1,30,0.644,20.23,2560,5456.6,25919.8,34663.3,136,33,12,1,0,1,0,2000,0,7.34,2,0,0,8,0
A703253,1,0.14,0.576,6,3,60,1.003,-1.0,4411,5645.5,17666.5,12767.5,1095,20,65,0,0,1,1,500,0,8.67,3,0,1,14,0
A703254,1,0.65,0.861,96,36,40,0.246,-1.0,834,2509.8,12821.7,17697.5,1928,17,30,1,1,1,1,200,0,4.71,1,0,1,22,0
A703255,1,0.99,0.784,24,-1,20,0.689,13.52,2036,8848.6,44016.2,32943.7,2387,9,149,1,0,1,0,500,0,7.35,3,0,0,8,0
A703256,1,0.98,0.47,48,-1,30,0.36,24.53,5314,3283.9,10220.0,8959.5,2005,26,106,1,1,1,1,2000,0,2.68,2,0,0,8,0
A703257,1,0.51,0.554,48,36,60,0.949,9.62,201,5274.2,17156.6,17125.3,646,5,75,1,1,0,0,500,0,9.29,1,0,0,14,0
A703258,1,0.79,0.051,6,-1,70,1.027,8.29,2929,5717.9,20804.4,20763.0,294,32,198,0,0,1,0,2000,0,7.67,1,0,0,31,0
A703259,1,0.42,0.524,6,36,30,2.674,7.79,4686,0.0,0.0,0.0,1530,9,99,1,0,1,1,500,0,3.89,1,0,0,3,0
A703260,1,0.76,0.16,24,-1,40,0.727,-1.0,3058,595.2,2126.1,2373.9,1935,20,210,1,0,1,0,500,0,4.55,1,0,0,31,0
A703261,1,0.38,0.647,48,-1,60,1.53,-1.0,1935,3222.0,13530.3,17726.3,332,1,194,1,0,0,1,500,0,6.3,3,0,0,8,0
A703262,1,0.35,0.928,48,9,30,2.739,6.9,3878,3995.3,14704.8,12504.0,2064,30,137,1,0,1,1,1500,0,3.22,1,0,0,-1,0
A703263,1,0.81,0.585,48,-1,30,0.077,-1.0,5038,8995.7,45409.2,46366.0,2118,18,278,0,1,1,0,1000,0,4.44,2,0,1,-1,0
A703264,1,0.64,0.209,96,36,30,3.745,-1.0,3329,3243.2,11818.2,10453.3,2304,3,202,1,1,1,1,2000,0,5.47,1,0,0,-1,0
A703265,1,0.53,0.038,6,18,40,0.049,-1.0,3890,4204.1,22793.7,27046.6,1228,11,203,1,0,1,0,2000,0,6.26,1,0,1,3,0
A703266,1,0.65,0.056,96,120,50,3.056,0.26,5381,7159.1,24916.0,33785.5,584,26,233,0,0,1,0,2000,1,3.67,1,0,0,-1,0
A703267,1,0.82,0.878,6,120,60,1.664,15.54,105,2909.7,10211.1,8202.2,1608,11,113,0,0,1,0,200,0,3.89,1,0,1,-1,0
A703268,1,0.93,0.251,48,-1,20,0.142,17.06,2619,4225.3,13815.9,12115.5,369,12,107,0,0,1,1,1000,0,6.36,9,0,1,22,0
A703269,1,0.85,0.289,6,18,40,0.497,4.14,4496,6322.0,24999.7,34016.1,1418,26,200,1,1,1,1,1500,0,12.08,1,0,1,14,0
A703270,1,0.71,0.701,48,120,60,1.486,1.43,246,0.0,0.0,0.0,789,4,232,0,1,1,0,500,0,4.55,1,0,0,3,0
A703271,1,0.86,0.448,12,18,10,3.092,5.63,58,5471.6,16775.0,16452.0,1264,37,299,0,1,1,0,200,0,8.91,1,0,0,3,0
A703272,1,0.74,0.899,48,3,10,0.447,33.73,2482,7471.6,32530.4,30509.6,259,2,193,1,0,1,0,1000,0,2.86,1,0,1,31,0
A703273,1,0.52,0.172,24,18,20,0.962,8.87,4595,5155.0,20724.4,14942.3,1307,36,190,1,0,1,0,1000,0,6.64,5,0,1,14,0
A703274,1,0.99,0.158,96,-1,40,5.666,0.54,3790,6471.4,32145.6,25324.7,68,20,204,1,0,1,0,200,0,8.01,1,0,0,22,0
A703275,1,0.18,0.805,12,18,10,3.375,23.57,317,9804.9,47327.2,41662.2,439,19,171,0,1,1,0,2000,0,0.1,1,0,0,22,0
A703276,1,0.43,0.619,24,120,50,3.161,-1.0,4295,6694.3,22240.8,17957.7,2303,7,100,1,1,1,0,200,0,10.55,3,0,1,22,0
A703277,1,0.24,0.404,48,-1,20,11.254,-1.0,387,4099.4,17160.2,21267.8,1714,0,269,1,1,1,0,1000,0,1.65,3,0,1,31,0
A703278,1,0.09,0.157,6,120,50,0.235,-1.0,3798,4494.2,23687.4,31319.5,244,39,76,0,1,1,0,2000,0,4.88,1,0,0,22,0
A703279,1,0.74,0.61,24,72,40,1.926,15.07,445,2906.9,10688.2,13438.9,1996,37,208,1,1,1,1,500,0,2.31,1,0,1,3,0
A703280,1,0.42,0.179,12,120,70,0.752,13.22,2292,4398.3,14254.2,14653.4,492,22,260,1,0,1,1,2000,0,1.48,1,0,0,8,0
A703281,1,0.26,0.59,6,36,50,2.77,-1.0,3472,3906.5,19469.5,16322.3,1425,25,92,1,1,0,1,1500,0,5.95,1,0,0,8,0
A703282,1,0.6,0.061,-1,120,30,3.087,7.08,4408,3248.4,12211.0,16384.3,477,37,157,1,1,1,0,200,0,6.68,1,0,0,3,0
A703283,1,0.23,0.965,96,36,40,0.957,6.64,812,4690.7,16306.5,21632.0,312,1,62,0,1,1,0,500,0,3.11,1,0,0,31,0
A703284,1,0.78,0.02,-1,9,20,3.459,4.25,1372,435.0,1343.1,1566.6,633,35,130,1,0,1,0,200,0,11.54,9,0,0,14,0
A703285,1,0.75,0.921,48,3,20,0.7,3.69,3551,6112.8,30248.2,21322.3,2039,32,241,0,0,1,1,1000,0,2.82,1,0,1,8,0
A703286,1,0.63,0.27,6,120,40,0.039,-1.0,2276,10346.7,44494.6,42218.2,771,5,146,1,0,1,0,200,0,10.6,1,0,1,8,0
A703287,1,0.43,0.563,-1,9,40,2.78,-1.0,3593,8724.5,38386.2,44228.1,786,29,150,0,1,1,0,1000,0,8.41,2,1,0,3,0
A703288,1,0.25,0.591,96,120,20,5.809,14.93,4738,316.3,1062.5,1294.8,2353,28,78,1,1,1,0,2000,0,8.15,9,0,0,22,0
A703289,1,0.44,0.078,12,3,30,1.208,19.19,3944,5499.2,19621.2,22043.5,1794,29,154,1,0,1,0,500,0,1.53,5,0,0,22,0
A703290,1,0.57,0.416,12,-1,30,1.351,11.36,51,4366.7,18957.6,15660.4,1915,31,89,0,0,0,1,200,0,5.96,1,0,0,3,0
A703291,1,0.44,0.915,12,72,40,2.669,14.0,4864,6781.3,22163.5,18313.7,724,24,232,1,0,1,0,1000,0,6.03,2,0,0,-1,0
A703292,1,0.66,0.524,48,-1,60,1.822,-1.0,2489,6586.6,25914.4,31754.1,996,37,258,1,0,1,0,2000,0,7.3,5,0,1,8,0
A703293,1,0.53,0.72,-1,36,30,5.167,-0.92,567,2883.7,10708.8,8915.3,375,1,222,0,0,1,0,1000,0,8.25,1,0,1,3,0
A703294,1,0.23,0.945,12,36,50,0.089,-1.0,3014,7898.7,33783.1,44122.9,1594,24,183,1,0,1,1,2000,0,8.51,1,0,1,22,0
A703295,1,0.83,0.002,24,9,40,3.413,7.04,1899,2893.8,9074.9,8053.7,1292,21,161,0,0,1,1,500,0,4.21,1,0,1,-1,0
